internal_code,normalized_name,brand,unit_measure,net_content
COCA_ORIGINAL_225,Coca Cola 2.25 L,Coca Cola,L,2.25
COCA_ZERO_225,Coca Cola Zero 2.25 L,Coca Cola,L,2.25
LECHE_ENTERA_1L,Leche Entera 1 L,La Serenisima,L,1
LECHE_DESCREMADA_1L,Leche Descremada 1 L,La Serenisima,L,1
ARROZ_LARGO_1KG,Arroz Largo Fino 1 Kg,Marolio,KG,1
ACEITE_GIRASOL_900,El Aceite de Girasol 900 Ml,Natura,ML,900
FERNET_750,Fernet 750 Ml,Branca,ML,750
GANCIA_950,Aperitivo Americano 950 Ml,Gancia,ML,950
LAVANDINA_1L,Lavandina 1 L,Ayudin,L,1
PAPEL_ELITE_4,Papel Higienico 4 Rollos,Elite,PACK,4
